"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20414","userCanCreateNickname()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.bart.tests.UserStory1Test","pt.iscte.blackbattleship.bart.tests.UserStory1Test","userCanCreateNickname"
"","6999","userCanOpenGameGuidesWithSelenide()","","2026-05-13","passed","2026-05-13","","pt.iscte.blackbattleship.bart.selenide.tests.UserStory5SelenideTest","pt.iscte.blackbattleship.bart.selenide.tests.UserStory5SelenideTest","userCanOpenGameGuidesWithSelenide"
"","53122","userCanPlayAgainstRobot()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.bart.tests.UserStory3Test","pt.iscte.blackbattleship.bart.tests.UserStory3Test","userCanPlayAgainstRobot"
"","42461","userCanStartRobotGameRoom()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.bart.tests.UserStory8Test","pt.iscte.blackbattleship.bart.tests.UserStory8Test","userCanStartRobotGameRoom"
"","11380","userCanCreateNicknameWithSelenide()","","2026-05-13","passed","2026-05-13","","pt.iscte.blackbattleship.bart.selenide.tests.UserStory1SelenideTest","pt.iscte.blackbattleship.bart.selenide.tests.UserStory1SelenideTest","userCanCreateNicknameWithSelenide"
"","10220","userCanPlayAgainstRobotWithSelenide()","","2026-05-13","passed","2026-05-13","","pt.iscte.blackbattleship.bart.selenide.tests.UserStory3SelenideTest","pt.iscte.blackbattleship.bart.selenide.tests.UserStory3SelenideTest","userCanPlayAgainstRobotWithSelenide"
"","8898","userCanStartRobotGameRoomWithSelenide()","","2026-05-13","passed","2026-05-13","","pt.iscte.blackbattleship.bart.selenide.tests.UserStory8SelenideTest","pt.iscte.blackbattleship.bart.selenide.tests.UserStory8SelenideTest","userCanStartRobotGameRoomWithSelenide"
"","14805","userCanOpenGameGuides()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.bart.tests.UserStory5Test","pt.iscte.blackbattleship.bart.tests.UserStory5Test","userCanOpenGameGuides"
